公司名称,公司地址,薪资水平,职位信息
北京四维图新科技股份有限公司,西安,10001-15000元/月,算法工程师
深圳奥比中光科技有限公司 ,西安,15000-30000元/月,算法工程师
百融金融信息服务股份有限公司 ,北京,15000-30000元/月,数据分析师
山东兰剑物流科技股份有限公司 ,济南,8001-10000元/月,软件工程师
西安乾泽网络科技有限公司 ,西安,4001-6000元/月,算法工程师
南京爬虫信息科技有限公司无锡分公司 ,无锡,4001-6000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
北京中电普华信息技术有限公司,北京,15000-25000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
博易智软(北京)技术有限公司 ,北京,20001-30000元/月,高级软件工程师
Libratone小鸟音响 ,北京,20000-40000元/月,算法工程师
舜宇集团有限公司,杭州,面议,算法工程师
北京智芯微电子科技有限公司,北京,12000-24000元/月,通信研发工程师
北京经纬恒润科技有限公司海淀分公司 ,北京,10001-15000元/月,算法工程师
科大讯飞股份有限公司,洛阳,10001-15000元/月,高级软件工程师
上海联影医疗科技有限公司 ,上海,10000-20000元/月,算法工程师
中星微电子有限公司 ,上海,15000-25000元/月,算法工程师
深圳市国电科技通信有限公司北京分公司 ,北京,8001-10000元/月,软件工程师
哈尔滨创优才智科技有限公司 ,哈尔滨,4001-6000元/月,软件工程师
福建(泉州)哈工大工程技术研究院 ,泉州,15001-20000元/月,算法工程师
北京金山办公软件股份有限公司 ,武汉,15000-30000元/月,算法工程师
联想集团有限公司,上海,面议,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
游族网络 ,上海,20001-30000元/月,算法工程师
北京理工大学智能机器人与系统高精尖创新中心,北京,15001-20000元/月,算法工程师
河南奥之元电子科技有限公司 ,郑州,6001-8000元/月,算法工程师
深圳奥比中光科技有限公司 ,西安,15000-30000元/月,算法工程师
广州大象健康科技有限公司 ,广州,12000-24000元/月,算法工程师
深圳奥比中光科技有限公司 ,西安,15000-30000元/月,算法工程师
北京知行易航智能科技有限公司 ,北京,20001-30000元/月,软件工程师
北京铁道工程机电技术研究所股份有限公司 ,北京,10000-20000元/月,IT质量管理经理/主管
北京配天技术有限公司 ,北京,3000-6000元/月,算法工程师
西安诺瓦电子科技有限公司,西安,15001-20000元/月,算法工程师
极课大数据 ,北京,20000-40000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
福建捷宇电脑科技有限公司 ,福州,15000-30000元/月,高级软件工程师
深圳奥比中光科技有限公司 ,西安,10000-20000元/月,算法工程师
迅辉(天津)科技发展有限公司 ,天津,8001-10000元/月,高级软件工程师
广州寄锦教育科技有限公司 ,广州,20001-30000元/月,算法工程师
广东雅倩化妆品有限公司驻广州办事处 ,深圳,15001-20000元/月,算法工程师
深圳市中软卓越教育科技有限公司西安分公司,西安,6001-8000元/月,语音/视频/图形开发
杭州晓芯智能科技有限公司 ,杭州,25000-35000元/月,高级软件工程师
巧达科技(北京)有限公司 ,北京,16000-32000元/月,算法工程师
苏州腾伟电子有限公司 ,苏州,8001-10000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,30000-60000元/月,算法工程师
智联招聘网/Zhaopin.com ,北京,面议,高级软件工程师
北明软件有限公司北京分公司,厦门,25000-35000元/月,算法工程师
舜宇集团有限公司,宁波,面议,软件研发工程师
大鹏高科(武汉)智能装备有限公司 ,武汉,6000-12000元/月,算法工程师
北京斗米优聘科技发展有限公司 ,北京,20000-35000元/月,算法工程师
北京智芯微电子科技有限公司,北京,12000-24000元/月,高级软件工程师
天津坦途企业管理咨询有限公司 ,北京,25000-35000元/月,算法工程师
深圳市大疆创新科技有限公司 ,深圳,20000-35000元/月,算法工程师
重庆卓睿信息技术有限公司西安分公司,西安,4001-6000元/月,算法工程师
西安赛博智云信息技术有限公司 ,西安,4001-6000元/月,算法工程师
交银企业管理服务(上海)有限公司张江高科技园区分公司,上海,12000-24000元/月,算法工程师
北京明特量化信息技术有限公司 ,北京,15000-30000元/月,算法工程师
爱奇艺（www.iqiyi.com）,成都,20001-30000元/月,算法工程师
天津市万欣科技有限公司 ,天津,4001-6000元/月,算法工程师
杭州心景科技有限公司 ,杭州,8000-16000元/月,算法工程师
北京国信达数据技术有限公司哈尔滨分公司 ,北京,15000-25000元/月,算法工程师
无限向量(北京)科技有限公司 ,北京,30000-60000元/月,算法工程师
西安诺瓦电子科技有限公司,西安,10001-15000元/月,算法工程师
青岛云智环境数据管理有限公司 ,青岛,4001-6000元/月,算法工程师
北京东方国信科技股份有限公司 ,北京,20000-35000元/月,算法工程师
杭州华信智原教育科技有限公司 ,杭州,8001-10000元/月,高级软件工程师
深圳开立生物医疗科技股份有限公司 ,深圳,10000-20000元/月,算法工程师
南宁中软教育咨询有限公司西安分公司,西安,4000-7000元/月,算法工程师
OPPO广东移动通信有限公司 ,上海,20001-30000元/月,语音/视频/图形开发
江苏集萃智能制造技术研究所有限公司 ,南京,10000-20000元/月,算法工程师
迅辉(天津)科技发展有限公司 ,天津,4001-6000元/月,算法工程师
恩梯梯数据(中国)信息技术有限公司 ,北京,10001-15000元/月,算法工程师
嘉兴景焱智能装备技术有限公司 ,嘉兴,8001-10000元/月,通信技术工程师
北京欣奕华科技有限公司 ,北京,20001-30000元/月,算法工程师
苏州浩克系统检测科技有限公司 ,昆山,10000-20000元/月,算法工程师
嘉兴景焱智能装备技术有限公司 ,嘉兴,15001-20000元/月,高级软件工程师
神州数码医疗科技股份有限公司 ,北京,20000-35000元/月,算法工程师
焦点科技股份有限公司 ,南京,8000-10000元/月,算法工程师
桂林智神信息技术有限公司 ,桂林,15001-20000元/月,其他
北京融七牛信息技术有限公司 ,北京,15001-20000元/月,算法工程师
安徽三联机器人科技有限公司 ,合肥,7000-14000元/月,算法工程师
京东金融 ,北京,面议,算法工程师
深圳市芊熠智能硬件有限公司 ,深圳,15000-30000元/月,算法工程师
北京东方国信科技股份有限公司 ,北京,12000-24000元/月,高级软件工程师
深圳市源极光科技有限公司 ,深圳,10001-15000元/月,算法工程师
滴滴出行,北京,30000-60000元/月,算法工程师
北京真格天成投资管理有限公司 ,北京,15001-20000元/月,算法工程师
北京经纬恒润科技有限公司海淀分公司 ,北京,13000-20000元/月,算法工程师
北京东方国信科技股份有限公司 ,北京,10000-20000元/月,高级软件工程师
OPPO广东移动通信有限公司 ,上海,30001-50000元/月,算法工程师
OPPO广东移动通信有限公司 ,上海,30001-50000元/月,算法工程师
紫光集团有限公司,北京,20000-40000元/月,算法工程师
重庆卓睿信息技术有限公司西安分公司,西安,4001-6000元/月,其他
广州中软职业技能培训有限公司西安分公司,西安,4001-6000元/月,算法工程师
上海怡胜信息科技有限公司 ,上海,6000-8000元/月,算法工程师
北京英视睿达科技有限公司 ,北京,10001-15000元/月,算法工程师
广州中软职业技能培训有限公司西安分公司,西安,6001-8000元/月,通信研发工程师
辽宁聚进科技有限公司 ,沈阳,6000-9000元/月,算法工程师
北京百悟科技有限公司,北京,20000-35000元/月,算法工程师
北京四维图新科技股份有限公司,北京,10000-20000元/月,软件工程师
杭州华信智原教育科技有限公司 ,杭州,8001-10000元/月,高级软件工程师
深圳奥比中光科技有限公司 ,西安,10000-20000元/月,算法工程师
银河互联网电视有限公司 ,北京,20000-40000元/月,高级软件工程师
阿甲科技有限公司 ,无锡,4001-6000元/月,其他
北京尖峰计算机系统有限公司武汉分公司,武汉,8000-15000元/月,软件工程师
金诚集团,厦门,9000-17000元/月,软件工程师
深圳市腾讯计算机系统有限公司 ,深圳,面议,其他
金诚集团,厦门,15001-20000元/月,算法工程师
深圳市腾讯计算机系统有限公司 ,深圳,面议,其他
启迪桑德环境资源股份有限公司 ,咸宁,8000-15000元/月,汽车动力系统工程师
北京汉能光伏投资有限公司 ,北京,20001-30000元/月,算法工程师
阿里巴巴集团 ,杭州,面议,其他
北京汉能光伏投资有限公司 ,北京,15001-20000元/月,算法工程师
无锡市人力资源市场 ,无锡,10001-15000元/月,算法工程师
深圳奥比中光科技有限公司 ,西安,15000-30000元/月,算法工程师
北京汉唐自远技术股份有限公司,北京,4001-6000元/月,算法工程师
北京乐普医疗科技有限责任公司 ,北京,10001-15000元/月,软件研发工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
福州龙腾简合网络技术有限公司 ,福州,7000-8000元/月,算法工程师
深圳市深网视界科技有限公司 ,深圳,20001-30000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
阿里巴巴集团 ,杭州,面议,其他
河南汇之诚电子科技有限公司 ,郑州,6001-8000元/月,算法工程师
深圳市通拓科技有限公司 ,深圳,30001-50000元/月,算法工程师
郑州蓝之海软件科技有限公司 ,郑州,6001-8000元/月,算法工程师
云从科技,苏州,20000-40000元/月,算法工程师
苏州达内信息科技有限公司,苏州,6001-8000元/月,算法工程师
广州中软职业技能培训有限公司西安分公司,西安,6001-8000元/月,算法工程师
天津市天源职业培训学校 ,天津,4001-6000元/月,算法工程师
蜀海(北京)供应链管理有限责任公司 ,北京,20000-35000元/月,算法工程师
天津坦途企业管理咨询有限公司 ,北京,25000-35000元/月,其他
南京爬虫信息科技有限公司无锡分公司 ,无锡,4001-6000元/月,算法工程师
一诺仪器(中国)有限公司 ,上海,10001-15000元/月,算法工程师
北京经纬恒润科技有限公司海淀分公司 ,北京,10001-15000元/月,算法工程师
高新兴科技集团股份有限公司 ,广州,10000-20000元/月,算法工程师
北京小招信息科技有限公司 ,北京,50000-80000元/月,算法工程师
北京首钢自动化信息技术有限公司 ,北京,15001-20000元/月,算法工程师
阿基米德(上海)传媒有限公司 ,上海,15001-20000元/月,算法工程师
无限向量(北京)科技有限公司 ,北京,70001-100000元/月,算法工程师
北京才秀人人科技有限公司01 ,南京,4001-6000元/月,电声/音响工程师/技术员
北京神州泰岳软件股份有限公司 ,重庆,10001-15000元/月,算法工程师
传神语联网网络科技股份有限公司 ,北京,20000-35000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
上海沃锐商务咨询中心(有限合伙) ,上海,20001-30000元/月,算法工程师
阿依瓦(北京)技术有限公司 ,北京,8000-15000元/月,软件研发工程师
未来新影传媒科技(北京)有限公司 ,北京,15000-30000元/月,软件研发工程师
聚龙股份有限公司 ,西安,15001-20000元/月,算法工程师
北京华龙通科技有限公司 ,北京,10001-15000元/月,通信研发工程师
西安磐基新能源科技有限公司 ,上海,15000-23000元/月,算法工程师
北京友通上昊科技有限公司,北京,12500-25000元/月,算法工程师
湖南中森通信科技有限公司 ,长沙,10000-20000元/月,算法工程师
上海宝朔科技有限公司 ,上海,20001-30000元/月,算法工程师
恒生电子股份有限公司 ,杭州,10000-20000元/月,算法工程师
大唐移动通信设备有限公司,北京,10000-20000元/月,算法工程师
上海宝朔科技有限公司 ,上海,15000-25000元/月,算法工程师
武汉真元生物数据有限公司 ,武汉,15001-20000元/月,算法工程师
成都谐盈科技有限公司 ,成都,12500-25000元/月,算法工程师
北京迪文科技有限公司,北京,20001-30000元/月,软件测试
北京康夫子科技有限公司 ,北京,20001-30000元/月,算法工程师
青岛新松机器人自动化有限公司 ,青岛,面议,算法工程师
乐影网 ,北京,20001-30000元/月,算法工程师
江苏普旭软件信息技术有限公司 ,南京,15001-20000元/月,软件研发工程师
北京友信宏科电子科技股份有限公司 ,北京,15001-20000元/月,软件研发工程师
深圳市台控自动化有限公司 ,深圳,10000-15000元/月,算法工程师
